policy,policy_kind,target_bps,stop_bps,max_hold_ms,input_count,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,profit_factor,max_consecutive_losses
S0,candidate_ladder,300,-700,10000,4317,4317,0,426,798,3093,0.09867963863794302,0.18485059068797777,0.7164697706740792,127,2299,0.7432913029421274,-182.78132962705584,-102.0,-789067.0,0.15313533336696178,26
S0,candidate_ladder,300,-1000,10000,4317,4317,0,434,649,3234,0.1005327773917072,0.15033588139911977,0.749131341209173,129,2438,0.753865182436611,-228.67129951355108,-102.0,-987174.0,0.12836858830312592,26
S0,candidate_ladder,300,-1500,10000,4317,4317,0,440,497,3380,0.10192263145703034,0.11512624507760019,0.7829511234653694,131,2582,0.763905325443787,-290.88672689367615,-102.0,-1255758.0,0.10524706993884439,26
S0,candidate_ladder,300,-2000,10000,4317,4317,0,448,405,3464,0.10377577021079454,0.09381514940931203,0.8024090803798934,131,2666,0.7696304849884527,-337.5573314801946,-102.0,-1457235.0,0.0933905954287378,26
S0,candidate_ladder,300,-3000,10000,4317,4317,0,453,260,3604,0.10493398193189715,0.060227009497336115,0.8348390085707668,132,2805,0.7783018867924528,-404.5214269168404,-102.0,-1746319.0,0.07993222457143791,26
S0,candidate_ladder,300,-5000,10000,4317,4317,0,456,110,3751,0.10562890896455872,0.025480657864257586,0.8688904331711836,133,2951,0.7867235403892295,-475.0328932128793,-102.0,-2050717.0,0.06929722924543673,26
S0,candidate_ladder,300,-6000,10000,4317,4317,0,457,61,3799,0.10586055130877925,0.014130182997451933,0.8800092656937688,133,2999,0.789418267965254,-486.72666203381976,-102.0,-2101199.0,0.06786919819056876,26
S0,candidate_ladder,400,-100,10000,4317,4317,0,369,3041,907,0.08547602501737317,0.704424368774612,0.21009960620801482,124,116,0.1278941565600882,-33.519805420430856,-100.0,-144705.0,0.5349319294997879,26
S0,candidate_ladder,400,-200,10000,4317,4317,0,384,1271,2662,0.08895066018068103,0.2944174195042854,0.6166319203150336,137,1858,0.6979714500375658,-63.86101459346769,-102.0,-275688.0,0.3873041766027571,26
S0,candidate_ladder,400,-300,10000,4317,4317,0,388,1131,2798,0.08987722955756312,0.2619874913134121,0.6481352791290248,137,1994,0.7126518942101501,-91.20917303683113,-102.0,-393750.0,0.3087509063043673,26
S0,candidate_ladder,400,-500,10000,4317,4317,0,393,951,2973,0.09103544127866574,0.22029186935371786,0.6886726893676164,146,2160,0.7265388496468214,-136.80287236506834,-102.0,-590578.0,0.23319583318726378,26
S0,candidate_ladder,400,-700,10000,4317,4317,0,399,800,3118,0.09242529534398888,0.1853138753764188,0.7222608292795923,150,2301,0.7379730596536241,-174.02316423442204,-102.0,-751258.0,0.1953054539767822,26
S0,candidate_ladder,400,-1000,10000,4317,4317,0,407,649,3261,0.09427843409775306,0.15033588139911977,0.7553856845031272,152,2442,0.7488500459981601,-219.77484364141765,-102.0,-948768.0,0.16379004146817616,26
S0,candidate_ladder,400,-1500,10000,4317,4317,0,413,497,3407,0.09566828816307621,0.11512624507760019,0.7892054667593236,154,2586,0.7590255356618726,-281.8512856150104,-102.0,-1216752.0,0.13430166166849875,26
S0,candidate_ladder,400,-2000,10000,4317,4317,0,421,405,3491,0.0975214269168404,0.09381514940931203,0.8086634236738476,154,2670,0.7648238327126897,-328.3365763261524,-102.0,-1417429.0,0.11927672064978576,26
S0,candidate_ladder,400,-3000,10000,4317,4317,0,426,260,3631,0.09867963863794302,0.060227009497336115,0.8410933518647209,155,2809,0.7736160837234921,-395.184850590688,-102.0,-1706013.0,0.10213575330288899,26
S0,candidate_ladder,400,-5000,10000,4317,4317,0,429,110,3778,0.09937456567060458,0.025480657864257586,0.8751447764651378,156,2955,0.7821598729486501,-465.6268241834607,-102.0,-2010111.0,0.08857227970852247,26
